,sensitivity,JF,method,experiment,subject_idx
98,100.0,71.42857142857143,Wavelet_transform,walking,2
99,98.83040935672514,100.0,Engzee,walking,2
100,100.0,100.0,Christov,walking,2
101,97.07602339181285,100.0,Hamilton,walking,2
102,99.41520467836257,29.41176470588236,Pan_Tompkins,walking,2
103,99.41520467836257,99.68253968253968,WQRS,walking,2
104,100.0,100.0,Elgendi_et_al,jogging,2
105,100.0,100.0,Matched_filter,jogging,2
106,100.0,55.55555555555556,Wavelet_transform,jogging,2
107,99.2831541218638,100.0,Engzee,jogging,2
108,100.0,71.42857142857143,Christov,jogging,2
109,100.0,71.42857142857143,Hamilton,jogging,2
110,100.0,45.45454545454545,Pan_Tompkins,jogging,2
111,99.6415770609319,71.42857142857143,WQRS,jogging,2
112,100.0,100.0,Elgendi_et_al,sitting,3
113,99.33333333333333,100.0,Matched_filter,sitting,3
114,100.0,71.42857142857143,Wavelet_transform,sitting,3
115,99.33333333333333,100.0,Engzee,sitting,3
116,100.0,100.0,Christov,sitting,3
117,99.33333333333333,100.0,Hamilton,sitting,3
118,100.0,71.42857142857143,Pan_Tompkins,sitting,3
119,99.33333333333333,100.0,WQRS,sitting,3
120,100.0,100.0,Elgendi_et_al,maths,3
121,100.0,100.0,Matched_filter,maths,3
122,99.46524064171123,71.42857142857143,Wavelet_transform,maths,3
123,100.0,100.0,Engzee,maths,3
124,100.0,71.42857142857143,Christov,maths,3
125,99.46524064171123,100.0,Hamilton,maths,3
126,99.46524064171123,55.55555555555556,Pan_Tompkins,maths,3
127,99.46524064171123,100.0,WQRS,maths,3
128,100.0,100.0,Elgendi_et_al,walking,3
129,100.0,100.0,Matched_filter,walking,3
130,100.0,71.42857142857143,Wavelet_transform,walking,3
131,98.85714285714286,100.0,Engzee,walking,3
132,100.0,100.0,Christov,walking,3
133,100.0,100.0,Hamilton,walking,3
134,100.0,71.42857142857144,Pan_Tompkins,walking,3
135,99.42857142857143,100.0,WQRS,walking,3
136,98.80239520958084,100.0,Elgendi_et_al,hand_bike,3
137,98.80239520958084,100.0,Matched_filter,hand_bike,3
138,98.20359281437125,33.33333333333333,Wavelet_transform,hand_bike,3
139,98.80239520958084,100.0,Engzee,hand_bike,3
140,99.40119760479041,71.42857142857143,Christov,hand_bike,3
141,95.80838323353294,100.0,Hamilton,hand_bike,3
142,99.40119760479041,71.42857142857143,Pan_Tompkins,hand_bike,3
143,99.40119760479041,71.42857142857143,WQRS,hand_bike,3
144,100.0,100.0,Elgendi_et_al,jogging,3
145,100.0,100.0,Matched_filter,jogging,3
146,99.60317460317461,55.55555555555556,Wavelet_transform,jogging,3
147,99.60317460317461,100.0,Engzee,jogging,3
148,100.0,100.0,Christov,jogging,3
149,99.20634920634922,100.0,Hamilton,jogging,3
150,100.0,55.55555555555556,Pan_Tompkins,jogging,3
151,99.60317460317461,100.0,WQRS,jogging,3
152,99.32432432432432,100.0,Elgendi_et_al,sitting,4
153,99.32432432432432,99.62825278810409,Matched_filter,sitting,4
154,99.32432432432432,71.42857142857143,Wavelet_transform,sitting,4
155,99.32432432432432,100.0,Engzee,sitting,4
156,100.0,99.62825278810409,Christov,sitting,4
157,85.8108108108108,100.0,Hamilton,sitting,4
158,100.0,100.0,Pan_Tompkins,sitting,4
159,100.0,99.62825278810409,WQRS,sitting,4
160,100.0,100.0,Elgendi_et_al,maths,4
161,99.3421052631579,100.0,Matched_filter,maths,4
162,100.0,71.42857142857143,Wavelet_transform,maths,4
163,99.3421052631579,100.0,Engzee,maths,4
164,100.0,100.0,Christov,maths,4
165,84.86842105263158,71.42857142857143,Hamilton,maths,4
166,99.3421052631579,55.55555555555556,Pan_Tompkins,maths,4
167,100.0,100.0,WQRS,maths,4
168,100.0,100.0,Elgendi_et_al,walking,4
169,99.41520467836257,100.0,Matched_filter,walking,4
170,100.0,71.42857142857143,Wavelet_transform,walking,4
171,100.0,100.0,Engzee,walking,4
172,99.41520467836257,100.0,Christov,walking,4
173,80.11695906432749,71.42857142857143,Hamilton,walking,4
174,100.0,45.45454545454545,Pan_Tompkins,walking,4
175,100.0,100.0,WQRS,walking,4
176,98.42931937172776,100.0,Elgendi_et_al,hand_bike,4
177,98.42931937172776,100.0,Matched_filter,hand_bike,4
178,100.0,55.55555555555556,Wavelet_transform,hand_bike,4
179,99.47643979057592,99.71830985915493,Engzee,hand_bike,4
180,100.0,71.42857142857143,Christov,hand_bike,4
181,100.0,71.22736418511066,Hamilton,hand_bike,4
182,100.0,45.45454545454545,Pan_Tompkins,hand_bike,4
183,99.47643979057592,71.02728731942214,WQRS,hand_bike,4
184,100.0,100.0,Elgendi_et_al,jogging,4
185,99.65870307167235,100.0,Matched_filter,jogging,4
186,99.65870307167235,55.55555555555557,Wavelet_transform,jogging,4
187,97.95221843003414,99.27797833935018,Engzee,jogging,4
188,99.31740614334471,71.42857142857143,Christov,jogging,4
189,95.56313993174061,71.42857142857143,Hamilton,jogging,4
190,99.65870307167235,71.42857142857143,Pan_Tompkins,jogging,4
191,99.65870307167235,71.42857142857143,WQRS,jogging,4
192,99.41176470588235,100.0,Elgendi_et_al,sitting,5
193,99.41176470588235,100.0,Matched_filter,sitting,5
194,100.0,71.42857142857143,Wavelet_transform,sitting,5
195,99.41176470588235,100.0,Engzee,sitting,5
196,99.41176470588235,100.0,Christov,sitting,5
197,86.47058823529412,71.42857142857143,Hamilton,sitting,5
198,100.0,31.25,Pan_Tompkins,sitting,5
199,99.41176470588235,100.0,WQRS,sitting,5
200,99.48186528497409,71.42857142857143,Elgendi_et_al,maths,5
201,99.48186528497409,100.0,Matched_filter,maths,5
202,99.48186528497409,71.42857142857143,Wavelet_transform,maths,5
203,99.48186528497409,100.0,Engzee,maths,5
204,99.48186528497409,100.0,Christov,maths,5
205,98.96373056994818,100.0,Hamilton,maths,5
206,99.48186528497409,21.73913043478261,Pan_Tompkins,maths,5
207,99.48186528497409,100.0,WQRS,maths,5
208,99.4475138121547,99.70149253731343,Elgendi_et_al,walking,5
209,98.89502762430939,100.0,Matched_filter,walking,5
210,99.4475138121547,71.21535181236673,Wavelet_transform,walking,5
211,98.89502762430939,100.0,Engzee,walking,5
212,99.4475138121547,99.70149253731343,Christov,walking,5
213,98.34254143646409,71.21535181236673,Hamilton,walking,5
214,99.4475138121547,71.21535181236673,Pan_Tompkins,walking,5
215,94.47513812154696,100.0,WQRS,walking,5
216,98.3957219251337,71.42857142857143,Elgendi_et_al,hand_bike,5
217,99.46524064171123,100.0,Matched_filter,hand_bike,5
218,99.46524064171123,45.45454545454545,Wavelet_transform,hand_bike,5
219,98.93048128342245,100.0,Engzee,hand_bike,5
220,100.0,100.0,Christov,hand_bike,5
221,97.32620320855615,71.42857142857143,Hamilton,hand_bike,5
