,sensitivity,JF,method,experiment,subject_idx
72,98.65771812080537,100.0,Elgendi_et_al,sitting,2
73,97.31543624161074,100.0,Matched_filter,sitting,2
74,99.32885906040269,71.42857142857143,Wavelet_transform,sitting,2
75,98.65771812080537,100.0,Engzee,sitting,2
76,99.32885906040269,100.0,Christov,sitting,2
77,98.65771812080537,100.0,Hamilton,sitting,2
78,99.32885906040269,71.42857142857143,Pan_Tompkins,sitting,2
79,98.65771812080537,100.0,WQRS,sitting,2
80,100.0,100.0,Elgendi_et_al,maths,2
81,98.78048780487805,100.0,Matched_filter,maths,2
82,100.0,55.55555555555556,Wavelet_transform,maths,2
83,99.39024390243902,100.0,Engzee,maths,2
84,100.0,100.0,Christov,maths,2
85,98.17073170731707,71.42857142857143,Hamilton,maths,2
86,100.0,100.0,Pan_Tompkins,maths,2
87,97.5609756097561,100.0,WQRS,maths,2
88,96.55172413793103,71.09940750493746,Elgendi_et_al,hand_bike,2
89,86.20689655172413,70.7792207792208,Matched_filter,hand_bike,2
90,99.56896551724138,41.66666666666667,Wavelet_transform,hand_bike,2
91,91.8103448275862,95.7943925233645,Engzee,hand_bike,2
92,99.56896551724138,71.102413568167,Christov,hand_bike,2
93,82.75862068965517,37.599172128320106,Hamilton,hand_bike,2
94,78.44827586206897,22.61645398900301,Pan_Tompkins,hand_bike,2
95,96.55172413793103,71.102413568167,WQRS,hand_bike,2
96,99.33333333333333,100.0,Elgendi_et_al,sitting,3
97,100.0,100.0,Matched_filter,sitting,3
98,99.33333333333333,55.55555555555557,Wavelet_transform,sitting,3
99,99.33333333333333,100.0,Engzee,sitting,3
100,99.33333333333333,100.0,Christov,sitting,3
101,96.66666666666667,100.0,Hamilton,sitting,3
102,100.0,71.42857142857143,Pan_Tompkins,sitting,3
103,99.33333333333333,100.0,WQRS,sitting,3
104,99.46808510638297,100.0,Elgendi_et_al,maths,3
105,91.48936170212765,99.42857142857143,Matched_filter,maths,3
106,99.46808510638297,29.411764705882355,Wavelet_transform,maths,3
107,99.46808510638297,100.0,Engzee,maths,3
108,99.46808510638297,100.0,Christov,maths,3
109,99.46808510638297,100.0,Hamilton,maths,3
110,99.46808510638297,100.0,Pan_Tompkins,maths,3
111,99.46808510638297,100.0,WQRS,maths,3
